,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,explicit,artists,like
81,0.585,0.161,7,-13.854,1,0.0336,0.928,0.0,0.111,0.425,145.987,161800,4,43,False,"['Crosby, Stills & Nash']",1
82,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4,81,True,['Drake'],1
83,0.772,0.266,1,-13.033,0,0.399,0.844,4.14e-06,0.146,0.703,141.949,113093,4,28,False,['Jean Leloup'],1
84,0.745,0.456,8,-9.482,1,0.0874,0.44,0.0,0.072,0.124,94.032,314367,4,59,True,['PNL'],1
85,0.575,0.691,5,-7.595,0,0.0301,0.0377,0.563,0.0657,0.734,131.588,215973,4,0,False,['Allah-Las'],1
86,0.603,0.785,10,-7.087,0,0.295,0.41,0.0,0.111,0.47,149.884,143728,4,33,False,['Lonepsi'],1
87,0.828,0.453,4,-11.185,0,0.0503,0.505,2.04e-05,0.116,0.966,126.503,122147,4,37,False,['Jean Leloup'],1
88,0.591,0.857,7,-3.487,1,0.075,0.00952,0.674,0.148,0.582,89.129,214947,4,50,False,['Nujabes'],1
89,0.587,0.132,3,-17.782,1,0.039,0.963,0.0166,0.0882,0.437,132.245,306907,4,39,False,"['Stan Getz', 'João Gilberto', 'Antônio Carlos Jobim']",1
90,0.826,0.524,4,-5.265,0,0.0795,0.0718,0.0328,0.0816,0.332,96.019,202387,4,51,True,['Damso'],1
91,0.696,0.789,4,-6.912,0,0.0457,0.0479,0.0008,0.712,0.809,111.215,230093,4,24,False,['Jean Leloup'],1
92,0.581,0.315,5,-11.947,0,0.0781,0.389,1.68e-05,0.0766,0.185,61.381,246088,4,62,True,"['6LACK', 'Future']",1
93,0.46,0.686,0,-5.948,0,0.0367,0.00146,0.0,0.375,0.252,148.054,145588,4,74,True,['Travis Scott'],1
94,0.654,0.393,3,-13.392,1,0.129,0.865,2.97e-06,0.123,0.533,143.801,214366,4,68,False,"['Elis Regina', 'Antônio Carlos Jobim']",1
95,0.814,0.181,2,-14.246,0,0.0532,0.65,0.141,0.113,0.529,86.495,234920,4,33,False,['Jean Leloup'],1
96,0.303,0.298,7,-17.399,1,0.0451,0.343,0.00275,0.0939,0.169,168.59,396667,4,36,False,['Harmonium'],1
97,0.553,0.486,2,-11.839,0,0.0817,0.807,0.00749,0.111,0.732,64.283,296440,4,38,False,['Caetano Veloso'],1
98,0.489,0.516,1,-8.921,0,0.308,0.446,0.0,0.0832,0.172,149.611,95160,4,51,True,['Damso'],1
99,0.476,0.563,9,-7.102,0,0.305,0.859,0.0,0.109,0.261,82.055,154286,4,36,True,['Lonepsi'],1
100,0.703,0.695,4,-7.766,0,0.0844,0.259,0.0,0.457,0.945,95.636,175920,4,39,False,['Jean Leloup'],1
101,0.461,0.161,8,-11.145,1,0.405,0.878,0.0,0.17,0.353,88.781,132000,3,58,False,['Bon Iver'],1
102,0.451,0.166,9,-11.125,1,0.0696,0.909,0.0,0.19,0.0901,121.123,268980,4,60,False,['Imogen Heap'],1
103,0.193,0.352,3,-10.821,0,0.0921,0.936,0.224,0.102,0.162,77.129,285440,1,49,False,['Bon Iver'],1
104,0.609,0.746,5,-5.249,0,0.184,0.115,0.0087,0.427,0.277,117.072,256587,4,62,True,"['Kanye West', 'Bon Iver']",1
105,0.748,0.715,2,-5.137,1,0.0451,0.249,0.0369,0.164,0.226,130.087,234173,4,65,True,['BROCKHAMPTON'],1
106,0.612,0.156,3,-15.823,1,0.0396,0.962,0.0026,0.102,0.415,131.09,304827,4,59,False,"['Stan Getz', 'João Gilberto', 'Antônio Carlos Jobim']",1
107,0.578,0.364,2,-15.162,1,0.0441,0.683,0.0539,0.105,0.723,78.073,216227,4,61,False,"['Stan Getz', 'Luiz Bonfá']",1
108,0.277,0.216,0,-9.66,1,0.03,0.945,0.00116,0.325,0.362,75.258,205773,4,58,False,['Harry James'],1
